id,name,aadhaar,bank_account,bank_name,address,district,scheme,amount,dob,mobile,registration_date
322,Anita Reddy,044708560940,67148783103,State Bank of India,"House 269, Model Town, Lucknow",Lucknow,PM-KISAN,5228.96,1966-04-15,9457227579,2024-03-06
323,Mangala Pandey,533722010912,17221455937,Canara Bank,"House 420, Rampur, Kanpur",Kanpur,MGNREGA,14158.48,1974-02-09,9370526351,2025-05-30
324,Meera Nath,707897755426,19038422736,Bank of Baroda,"House 467, Bapunagar, Lucknow",Lucknow,NSP Scholarship,4856.18,1995-11-25,9222711175,2022-01-13
325,Saroj Iyer,052217114865,65818981061,Canara Bank,"House 217, Bapunagar, Varanasi",Varanasi,Ayushman Bharat,41035.49,1973-02-19,9631631297,2023-08-19
326,Rajan Gupta,104332181960,79402654235,Bank of Baroda,"Plot No.1, Near Bus Stand, Main Road, Lucknow",Allahabad,NSAP Pension,2997.34,1960-09-12,9493916601,2022-06-07
327,Rekha Tiwari,753965974425,79402654235,Bank of Baroda,"House 393, Bapunagar, Kanpur",Kanpur,PMKVY Skill Dev,16138.42,1978-02-10,9204164153,2023-03-20
328,Mangala Sharma,491699939344,97439464088,Bank of Baroda,"House 150, Krishnanagar, Allahabad",Allahabad,PM Awas Yojana,121432.33,1971-10-22,9862973988,2022-06-02
329,Priya Reddy,462487238586,53927687141,Bank of Baroda,"House 281, Nehru Vihar, Kamrup",Kamrup,Ayushman Bharat,14034.12,1990-02-03,9796706055,2022-07-20
330,Bharat Pandey,104332181960,59205596757,Canara Bank,"House 614, Nehru Vihar, Allahabad",Allahabad,PM Awas Yojana,149476.63,1993-05-01,9137983045,2023-01-24
331,Savita Ghosh,687906048869,32055340508,UCO Bank,"House 791, Krishnanagar, Nagaon",Nagaon,MGNREGA,8691.18,1963-09-28,9159764053,2021-11-11
332,Ashok Ghosh,312736548522,07201970842,UCO Bank,"House 482, Shantinagar, Lucknow",Lucknow,NSP Scholarship,10466.44,1995-01-11,9627963651,2024-10-21
333,Prakash Roy,462159584174,91617050221,UCO Bank,"House 681, Rampur, Kanpur",Kanpur,Ayushman Bharat,23202.03,1994-10-23,9413447609,2024-04-03
334,Deepak Reddy,013389083863,22338540336,UCO Bank,"House 602, Nehru Vihar, Gorakhpur",Gorakhpur,MGNREGA,7080.81,1971-05-17,9023126532,2023-02-11
335,Kiran Iyer,672757844683,41465111312,UCO Bank,"House 59, Rampur, Kanpur",Kanpur,MGNREGA,11920.91,1957-01-13,9068277881,2023-05-31
336,Rekha Iyer,552763655647,29293143866,Bank of Baroda,"House 150, Model Town, Lakhimpur",Lakhimpur,PM Awas Yojana,148774.44,1987-11-01,9702672885,2022-12-16
337,Anita Rani,646726368154,18589900277,Bank of Baroda,"House 591, Model Town, Gorakhpur",Gorakhpur,NSAP Pension,2261.99,1973-08-12,9507860435,2023-05-18
338,Rajan Das,110356594299,20237666969,Bank of Baroda,"House 794, Krishnanagar, Gorakhpur",Gorakhpur,NSAP Pension,4193.36,1980-04-13,9386194118,2021-06-15
339,Bharat Pandey,414488501556,99023557702,Canara Bank,"House 160, Bapunagar, Lucknow",Lucknow,MGNREGA,8527.42,1971-03-10,9760849588,2025-07-31
340,Sunita Kumar,023142900185,13279724572,Bank of Baroda,"House 58, Nehru Vihar, Sivasagar",Sivasagar,PM-KISAN,4768.16,1990-03-18,9001841862,2025-09-05
341,Rajan Mishra,117753312661,09410175902,Punjab National Bank,"House 111, Bapunagar, Darrang",Darrang,NSP Scholarship,7045.59,1989-04-19,9983347743,2024-07-22
342,Rajan Jha,049386204485,15791971112,State Bank of India,"House 191, Shantinagar, Goalpara",Goalpara,PM-KISAN,4364.59,1999-06-13,9203571343,2021-06-30
343,Bharat Das,104332181960,03387885285,UCO Bank,"House 882, Nehru Vihar, Sonitpur",Sonitpur,PM Awas Yojana,135363.05,1991-11-03,9843976309,2025-08-21
344,Anita Tiwari,033744999870,93391369412,Canara Bank,"House 987, Shantinagar, Kanpur",Kanpur,PM-KISAN,2283.23,1966-09-07,9032675318,2025-06-06
345,Mohan Gupta,569961125355,44964759876,Bank of Baroda,"House 189, Model Town, Dhubri",Dhubri,NSP Scholarship,3207.91,1980-03-14,9413261117,2022-08-11
346,Leela Devi,517419258147,62123601863,UCO Bank,"House 613, Shantinagar, Nagaon",Nagaon,MGNREGA,7296.09,1992-06-27,9384531563,2021-05-02
347,Vinod Ghosh,718981312920,87510293218,Punjab National Bank,"House 872, Model Town, Gorakhpur",Gorakhpur,NSAP Pension,1947.02,1990-01-23,9845826034,2025-06-05
348,Rajan Reddy,561622564718,55940799230,Punjab National Bank,"House 813, Model Town, Lucknow",Lucknow,PM-KISAN,3376.51,1981-10-06,9231677814,2023-10-30
349,Dinesh Das,142939685621,85016315999,Canara Bank,"House 993, Model Town, Darrang",Darrang,NSP Scholarship,5937.39,1976-09-23,9773586629,2021-12-24
350,Leela Kumar,566937540242,86178925714,State Bank of India,"House 865, Krishnanagar, Jorhat",Jorhat,NSAP Pension,3187.84,1979-08-28,9857626481,2022-02-27
351,Sunita Singh,313100943181,43966613473,Bank of Baroda,"House 805, Krishnanagar, Gorakhpur",Gorakhpur,Ayushman Bharat,20643.49,1975-06-01,9940128974,2021-10-30
352,Rajesh Jha,880937616522,89890749935,UCO Bank,"House 549, Rampur, Sivasagar",Sivasagar,Ayushman Bharat,11101.06,1970-08-16,9977726597,2023-07-22
353,Bharat Singh,276773592555,62588153714,Canara Bank,"House 254, Krishnanagar, Dhubri",Dhubri,PM-KISAN,2387.25,1975-03-20,9696325953,2021-05-29
354,Saroj Tiwari,523219416800,61027769749,UCO Bank,"House 370, Bapunagar, Lucknow",Lucknow,Ayushman Bharat,35321.14,1965-10-24,9412203103,2025-07-15
355,Sanjay Reddy,562137213865,89026012796,State Bank of India,"House 66, Shantinagar, Dhubri",Dhubri,PM Awas Yojana,126653.11,1994-01-26,9906698490,2021-05-07
356,Suresh Das,211369572790,83350902542,Punjab National Bank,"House 474, Krishnanagar, Kamrup",Kamrup,MGNREGA,13818.75,1996-03-09,9662481323,2023-10-21
357,Sunita Rani,203771070449,64104967066,Canara Bank,"House 46, Krishnanagar, Gorakhpur",Gorakhpur,MGNREGA,5468.76,1984-09-14,9680408509,2021-06-15
358,Kavita Singh,792524191380,00307562208,Canara Bank,"House 230, Shantinagar, Dhubri",Dhubri,PMKVY Skill Dev,10979.16,1972-07-19,9419518023,2022-10-17
359,Leela Devi,403317393638,54678544587,Canara Bank,"House 101, Model Town, Lakhimpur",Lakhimpur,NSAP Pension,5921.54,1959-02-17,9535560932,2025-08-05
360,Mangala Sharma,053021516758,64633953481,State Bank of India,"House 4, Shantinagar, Sivasagar",Sivasagar,PMKVY Skill Dev,8204.91,1990-08-15,9476427896,2024-12-31
361,Vijay Das,147683420165,42356778265,UCO Bank,"House 399, Model Town, Nagaon",Nagaon,PM-KISAN,2039.73,1983-06-09,9199255027,2024-11-09
362,Savita Jha,282063228012,79402654235,Canara Bank,"House 591, Nehru Vihar, Gorakhpur",Gorakhpur,PMKVY Skill Dev,8636.19,1975-02-18,9466589524,2022-12-07
363,Rekha Kumar,562271043318,75109792158,Bank of Baroda,"House 354, Bapunagar, Allahabad",Allahabad,NSAP Pension,1859.34,1983-12-20,9446945964,2022-07-16
364,Vinod Pandey,253646280550,77406579551,Punjab National Bank,"House 984, Gandhi Nagar, Gorakhpur",Gorakhpur,MGNREGA,4913.47,1984-11-07,9090855107,2022-02-27
365,Geeta Verma,602564347128,71539915668,Canara Bank,"House 828, Krishnanagar, Lucknow",Lucknow,NSP Scholarship,5011.96,1990-11-15,9411159319,2023-08-16
366,Ramesh Gupta,402681177589,17839084700,Canara Bank,"House 868, Gandhi Nagar, Varanasi",Varanasi,PM Awas Yojana,132788.21,1991-07-26,9771159212,2024-02-22
367,Ramesh Iyer,921779055286,69335158807,State Bank of India,"House 788, Model Town, Barpeta",Barpeta,NSAP Pension,4609.53,1983-09-29,9260119391,2025-08-17
368,Deepak Mukherjee,239484002730,08696610168,Bank of Baroda,"House 77, Rampur, Kanpur",Kanpur,PM Awas Yojana,140049.45,1971-03-18,9001680941,2024-01-16
369,Deepak Devi,119214574452,16184959310,State Bank of India,"House 824, Krishnanagar, Kanpur",Kanpur,PM-KISAN,2161.44,1989-02-03,9769473088,2024-11-22
370,Anita Kumar,598445143672,86811230388,Punjab National Bank,"House 771, Gandhi Nagar, Sonitpur",Sonitpur,PM-KISAN,5395.69,1991-01-06,9193978145,2022-06-15
371,Sunita Mishra,986546220212,37205503300,State Bank of India,"House 19, Nehru Vihar, Gorakhpur",Gorakhpur,MGNREGA,9227.97,1978-12-10,9467391900,2022-10-16
372,Rekha Ghosh,997308069581,46717957602,Punjab National Bank,"House 744, Krishnanagar, Dhubri",Dhubri,Ayushman Bharat,26115.82,1961-12-11,9383959724,2021-08-19
373,Meera Iyer,067396342898,76055049221,Canara Bank,"House 61, Shantinagar, Gorakhpur",Gorakhpur,NSAP Pension,4521.23,1963-05-04,9186706632,2025-05-05
374,Saroj Kumar,104332181960,79402654235,Punjab National Bank,"Plot No.1, Near Bus Stand, Main Road, Lucknow",Kamrup,PM-KISAN,4194.86,1962-08-08,9607326447,2021-05-07
375,Ramesh Mukherjee,390654025998,51939327272,UCO Bank,"House 882, Rampur, Lakhimpur",Lakhimpur,PMKVY Skill Dev,9920.78,1990-09-04,9635049602,2023-04-10
376,Ashok Rani,082148628902,33030705345,Canara Bank,"House 518, Gandhi Nagar, Dhubri",Dhubri,NSAP Pension,4468.72,1990-02-19,9035797279,2022-08-05
377,Rajan Ghosh,498776945314,73799650752,Canara Bank,"House 218, Shantinagar, Nagaon",Nagaon,Ayushman Bharat,40902.46,1970-09-19,9494808313,2021-08-25
378,Anjali Roy,548214565328,63266678507,Bank of Baroda,"House 789, Rampur, Kanpur",Kanpur,PM-KISAN,4870.5,1995-01-03,9155626060,2021-12-25
379,Rekha Verma,575571663282,46306162185,Canara Bank,"House 244, Shantinagar, Allahabad",Allahabad,NSAP Pension,2351.98,2001-03-07,9761504205,2022-04-13
380,Rajan Mishra,046600128382,71012329615,State Bank of India,"House 129, Rampur, Dhubri",Dhubri,PMKVY Skill Dev,15858.37,1977-07-10,9850766534,2023-12-08
381,Saroj Mukherjee,365203758309,45154809404,Canara Bank,"House 408, Rampur, Sivasagar",Sivasagar,MGNREGA,14948.85,1978-07-20,9409079772,2023-01-12
382,Mangala Jha,226934854039,09846856066,UCO Bank,"House 747, Nehru Vihar, Gorakhpur",Gorakhpur,PMKVY Skill Dev,10183.96,1964-09-02,9138268709,2021-05-20
383,Deepak Gupta,411241272380,46827567043,State Bank of India,"House 23, Model Town, Kamrup",Kamrup,PM-KISAN,5207.96,1971-02-12,9695579887,2023-02-13
384,Geeta Reddy,134438998278,02058695073,Bank of Baroda,"House 112, Bapunagar, Sivasagar",Sivasagar,PM-KISAN,3225.35,1963-02-19,9449369995,2025-02-23
385,Lalita Sharma,074279907726,25701658046,Punjab National Bank,"House 715, Nehru Vihar, Goalpara",Goalpara,MGNREGA,9509.22,1982-09-01,9195085016,2023-08-21
386,Ramesh Iyer,320126578982,60418095217,Punjab National Bank,"House 344, Nehru Vihar, Dhubri",Dhubri,Ayushman Bharat,19145.96,1990-09-07,9777412746,2022-04-23
387,Rajesh Ghosh,319013020569,81528733978,Punjab National Bank,"House 366, Nehru Vihar, Allahabad",Allahabad,MGNREGA,13797.07,1988-11-18,9176619128,2024-01-06
388,Meera Roy,591710508054,91477447353,Punjab National Bank,"House 791, Krishnanagar, Kamrup",Kamrup,PMKVY Skill Dev,11570.76,1974-09-18,9171594973,2024-03-24
389,Suresh Devi,033746983306,77306718222,Canara Bank,"House 421, Model Town, Kanpur",Kanpur,Ayushman Bharat,26391.87,1976-01-09,9190878865,2024-06-18
390,Mangala Patel,916928091663,16696874033,State Bank of India,"House 261, Shantinagar, Dhubri",Dhubri,PM Awas Yojana,128353.45,1978-07-30,9106166497,2025-08-30
391,Savita Verma,228685289755,85566593983,Canara Bank,"House 785, Nehru Vihar, Lucknow",Lucknow,Ayushman Bharat,46676.61,1978-06-16,9577600490,2022-10-13
392,Meera Rani,868190041589,11111111111,Bank of Baroda,"House 221, Krishnanagar, Sivasagar",Sivasagar,NSP Scholarship,6355.26,1963-12-07,9601385500,2024-09-30
393,Usha Verma,625265469681,57903923555,UCO Bank,"House 843, Rampur, Allahabad",Allahabad,MGNREGA,10326.8,1965-07-12,9132730346,2025-03-01
394,Deepak Reddy,033373634669,25481214785,Bank of Baroda,"House 598, Rampur, Goalpara",Goalpara,PMKVY Skill Dev,13583.04,1971-01-27,9677665754,2023-07-17
395,Kavita Singh,551919396871,00000000000,UCO Bank,"House 444, Model Town, Kanpur",Kanpur,NSP Scholarship,8942.38,1994-05-12,9708049293,2021-09-20
396,Sanjay Jha,212281606484,22940572025,UCO Bank,"House 53, Model Town, Allahabad",Allahabad,MGNREGA,14188.58,1974-03-26,9798515832,2022-10-07
397,Vinod Reddy,061203471754,55884506159,Bank of Baroda,"House 591, Nehru Vihar, Goalpara",Goalpara,PM Awas Yojana,139495.96,1985-08-04,9455877169,2024-01-30
398,Santosh Reddy,812657422319,64630040236,UCO Bank,"House 199, Gandhi Nagar, Kanpur",Kanpur,PMKVY Skill Dev,17593.66,1987-08-24,9689430120,2024-03-13
399,Deepak Ghosh,569771433608,09010146103,UCO Bank,"House 153, Gandhi Nagar, Gorakhpur",Gorakhpur,NSP Scholarship,10479.52,1956-04-26,9818930461,2023-07-10
400,Bharat Tiwari,842495988114,57887071523,UCO Bank,"House 412, Gandhi Nagar, Varanasi",Varanasi,NSP Scholarship,6514.47,1983-09-01,9820974619,2025-04-30
401,Rekha Mishra,104332181960,79499944574,Punjab National Bank,"House 284, Rampur, Lucknow",Lucknow,PM-KISAN,5400.0,1997-05-16,9769262654,2022-01-07
402,Geeta Kumar,104332181960,79402654235,Bank of Baroda,"Plot No.1, Near Bus Stand, Main Road, Lucknow",Allahabad,PMKVY Skill Dev,14332.85,1984-08-20,9427622155,2022-07-06
403,Geeta Yadav,616850710580,11950927115,Bank of Baroda,"House 438, Rampur, Dhubri",Dhubri,MGNREGA,11970.38,1997-05-03,9537092300,2023-02-04
404,Sunita Ghosh,638558819597,72168800537,UCO Bank,"House 784, Model Town, Kamrup",Kamrup,NSAP Pension,4737.33,1981-11-16,9186928972,2022-10-31
405,Ramesh Yadav,000245393132,15513055708,Bank of Baroda,"House 649, Bapunagar, Sivasagar",Sivasagar,PM Awas Yojana,132770.48,1984-11-28,9144488966,2022-05-25
406,Usha Mishra,023993446060,69430695235,Canara Bank,"House 551, Gandhi Nagar, Lakhimpur",Lakhimpur,NSP Scholarship,5908.07,1988-08-21,9941285370,2025-07-02
407,Prakash Verma,067287286604,16448595922,Punjab National Bank,"House 536, Bapunagar, Lakhimpur",Lakhimpur,Ayushman Bharat,14200.78,1967-12-11,9894773522,2022-09-30
408,Kiran Nath,261684552527,41025471798,UCO Bank,"House 722, Nehru Vihar, Sivasagar",Sivasagar,PMKVY Skill Dev,11311.01,1969-01-19,9669489930,2025-07-07
409,Rekha Gupta,817932302346,79121416141,Punjab National Bank,"House 31, Nehru Vihar, Nagaon",Nagaon,MGNREGA,5817.36,1957-09-21,9100409013,2022-10-04
410,Rajan Mishra,852023209140,16933284423,Punjab National Bank,"House 507, Bapunagar, Sonitpur",Sonitpur,NSP Scholarship,3635.42,1987-11-08,9907551545,2024-12-22
411,Rekha Mishra,098503446512,41893898469,State Bank of India,"House 560, Bapunagar, Kamrup",Kamrup,PM-KISAN,5567.23,1958-12-30,9400564350,2024-11-26
412,Rekha Pandey,350313650249,16300979251,Bank of Baroda,"House 162, Gandhi Nagar, Kamrup",Kamrup,PM Awas Yojana,122742.05,1970-11-21,9005281273,2023-11-29
413,Usha Singh,371616088197,22399647718,Bank of Baroda,"House 497, Shantinagar, Dhubri",Dhubri,PMKVY Skill Dev,18050.02,1997-08-19,9768102480,2021-11-28
414,Vinod Yadav,974255136090,85818104502,Punjab National Bank,"House 218, Bapunagar, Lakhimpur",Lakhimpur,NSAP Pension,3736.36,1965-04-28,9158736627,2025-03-30
415,Bharat Rani,009537234617,62313361094,Punjab National Bank,"House 730, Rampur, Allahabad",Allahabad,PMKVY Skill Dev,19579.97,1974-05-14,9231654413,2023-02-09
416,Lalita Jha,032200748597,24387129514,Punjab National Bank,"House 191, Bapunagar, Nagaon",Nagaon,PMKVY Skill Dev,17736.82,1971-07-16,9802860604,2022-08-03
417,Deepak Singh,158517432806,34615717320,Bank of Baroda,"House 26, Bapunagar, Lucknow",Lucknow,PM Awas Yojana,149891.51,1979-11-09,9761847870,2025-06-24
418,Usha Das,266821719553,56033190368,UCO Bank,"House 47, Model Town, Barpeta",Barpeta,Ayushman Bharat,5670.44,1978-10-30,9010272405,2023-09-22
419,Rekha Pandey,909617399704,69472587844,Punjab National Bank,"House 889, Nehru Vihar, Lakhimpur",Lakhimpur,PMKVY Skill Dev,10988.26,1976-07-21,9884712705,2022-10-30
420,Usha Pandey,145933272795,68783391878,Punjab National Bank,"House 80, Nehru Vihar, Gorakhpur",Gorakhpur,NSP Scholarship,4009.88,1983-02-11,9982258713,2021-08-31
421,Deepak Gupta,907399289198,27182653371,Canara Bank,"House 756, Rampur, Kanpur",Kanpur,PM-KISAN,4135.57,1973-08-15,9942694203,2021-08-29
422,Anjali Reddy,002512137565,89635957086,State Bank of India,"House 945, Nehru Vihar, Allahabad",Allahabad,PMKVY Skill Dev,15313.81,1995-01-30,9458434566,2024-06-11
423,Pushpa Singh,217741743043,50238502289,Punjab National Bank,"House 433, Gandhi Nagar, Sivasagar",Sivasagar,NSAP Pension,3221.03,1961-01-07,9523328293,2025-08-19
424,Kiran Mukherjee,760385977034,82477109324,UCO Bank,"House 15, Nehru Vihar, Darrang",Darrang,PM-KISAN,3631.96,1981-02-03,9171274846,2022-12-24
425,Mohan Rani,104332181960,79402654235,Canara Bank,"Plot No.1, Near Bus Stand, Main Road, Lucknow",Kanpur,PM-KISAN,5563.41,2000-02-12,9473719851,2023-01-04
426,Lalita Das,176475011117,83099974192,Canara Bank,"House 496, Bapunagar, Varanasi",Varanasi,MGNREGA,11432.84,1974-06-26,9921518260,2023-06-24
427,Anjali Singh,416624111860,08921963945,Canara Bank,"House 525, Bapunagar, Kanpur",Kanpur,NSP Scholarship,3210.89,1976-08-30,9731497646,2025-03-01
428,Mohan Gupta,482488631373,71450311802,Canara Bank,"House 696, Gandhi Nagar, Nagaon",Nagaon,PM-KISAN,4525.19,1990-04-29,9419396061,2025-07-19
429,Santosh Patel,561595148465,64823662994,Canara Bank,"House 562, Model Town, Allahabad",Allahabad,NSP Scholarship,3003.65,1975-07-06,9369957773,2022-10-27
430,Leela Mukherjee,144739473121,72715518844,Bank of Baroda,"House 729, Bapunagar, Gorakhpur",Gorakhpur,Ayushman Bharat,46729.6,1985-08-19,9583132370,2023-08-30
431,Vinod Nath,016259084194,78550113753,Punjab National Bank,"House 543, Krishnanagar, Kanpur",Kanpur,NSP Scholarship,9355.52,1999-03-22,9728878072,2021-04-25
432,Kiran Devi,449205489445,38118081896,Punjab National Bank,"House 645, Shantinagar, Sonitpur",Sonitpur,PM Awas Yojana,135881.78,1975-10-29,9456622952,2024-12-29
433,Vinod Rani,228230524808,80622072239,Punjab National Bank,"House 588, Model Town, Kanpur",Kanpur,Ayushman Bharat,17567.47,1979-03-14,9721329016,2024-12-03
434,Anita Ghosh,768868785996,48628720319,Punjab National Bank,"House 863, Shantinagar, Barpeta",Barpeta,PM Awas Yojana,123466.09,1964-04-02,9664505730,2024-06-23
435,Priya Yadav,482629251881,25205664742,Bank of Baroda,"House 110, Krishnanagar, Lucknow",Lucknow,NSAP Pension,2575.94,1977-04-23,9999393305,2025-03-29
436,Leela Rani,569644309859,16795410727,Bank of Baroda,"House 536, Shantinagar, Nagaon",Nagaon,PM Awas Yojana,138713.85,1986-08-30,9474140703,2024-02-06
437,Ramesh Gupta,601515325947,95074071732,Canara Bank,"House 610, Nehru Vihar, Darrang",Darrang,PM-KISAN,2198.07,1969-07-03,9950310064,2021-11-20
438,Lalita Mukherjee,925946574465,32554411818,Punjab National Bank,"House 88, Krishnanagar, Dhubri",Dhubri,NSAP Pension,3404.6,1960-11-12,9380520388,2025-02-14
439,Mangala Mukherjee,502551344486,72288390473,Bank of Baroda,"House 68, Shantinagar, Sonitpur",Sonitpur,NSAP Pension,5685.64,1976-06-28,9615749325,2025-03-01
440,Rekha Patel,404337009687,30451957782,Punjab National Bank,"House 675, Shantinagar, Goalpara",Goalpara,NSP Scholarship,9535.79,1988-03-06,9556296575,2021-05-20
441,Pushpa Sharma,478524744203,59441023873,Punjab National Bank,"House 85, Nehru Vihar, Lakhimpur",Lakhimpur,PMKVY Skill Dev,18989.32,1964-10-19,9647741313,2023-08-19
442,Vinod Yadav,967074215319,36252602216,UCO Bank,"House 753, Model Town, Lakhimpur",Lakhimpur,Ayushman Bharat,6128.78,1960-05-21,9548029335,2022-08-18
443,Mangala Roy,380101245718,99999999999,State Bank of India,"House 934, Shantinagar, Varanasi",Varanasi,PM Awas Yojana,136768.1,1966-09-24,9194999136,2022-03-07
444,Geeta Ghosh,707286790874,06403910651,UCO Bank,"House 62, Rampur, Varanasi",Varanasi,Ayushman Bharat,49376.18,1958-11-25,9046226567,2023-07-27
445,Lalita Rani,730652407784,87392855749,UCO Bank,"House 165, Rampur, Gorakhpur",Gorakhpur,NSAP Pension,4030.78,1960-12-07,9448570862,2025-07-31
446,Leela Pandey,023386860835,70170363094,Punjab National Bank,"House 158, Krishnanagar, Varanasi",Varanasi,Ayushman Bharat,28071.25,1964-05-11,9020508983,2025-07-07
447,Geeta Iyer,828179477950,03452202626,UCO Bank,"House 232, Rampur, Lucknow",Lucknow,PM Awas Yojana,126501.2,1917-05-04,9645257330,2022-04-04
448,Meera Sharma,225720765024,12095790737,State Bank of India,"House 47, Model Town, Lakhimpur",Lakhimpur,MGNREGA,3208.69,1975-03-05,9388221145,2023-02-24
449,Dinesh Roy,865619425577,82058295829,Bank of Baroda,"House 836, Model Town, Goalpara",Goalpara,MGNREGA,5469.75,1965-09-10,9161880819,2025-08-30
450,Vijay Das,389012484479,11615594078,Bank of Baroda,"House 433, Bapunagar, Varanasi",Varanasi,MGNREGA,12459.89,1969-11-24,9611568622,2021-10-02
451,Prakash Pandey,978729657156,43802990348,State Bank of India,"House 657, Shantinagar, Lucknow",Lucknow,PM Awas Yojana,123760.83,1959-01-02,9960009409,2025-04-26
452,Prakash Reddy,737460523302,76420865675,Canara Bank,"House 401, Rampur, Kamrup",Kamrup,PM Awas Yojana,135835.33,1975-11-10,9438612590,2021-09-15
453,Mohan Nath,617979688680,58911352909,Canara Bank,"House 991, Model Town, Goalpara",Goalpara,NSP Scholarship,5984.37,1962-08-19,9101438889,2021-10-30
454,Usha Kumar,781975437347,64273720376,Bank of Baroda,"House 972, Nehru Vihar, Nagaon",Nagaon,Ayushman Bharat,27936.4,1988-04-08,9145841484,2021-07-02
455,Sunita Jha,926517328162,91087392219,UCO Bank,"House 253, Gandhi Nagar, Lucknow",Lucknow,PMKVY Skill Dev,14806.4,1994-06-23,9573767105,2024-12-01
456,Saroj Singh,670009942489,42046648966,Canara Bank,"House 421, Rampur, Jorhat",Jorhat,PM Awas Yojana,129806.23,1962-02-25,9420456577,2023-10-12
457,Meera Roy,947284639208,67808562718,Canara Bank,"House 324, Bapunagar, Jorhat",Jorhat,PMKVY Skill Dev,8101.02,1982-05-06,9691559428,2024-03-18
458,Anita Tiwari,104332181960,51160895897,State Bank of India,"House 818, Model Town, Sivasagar",Sivasagar,MGNREGA,4308.36,1969-12-22,9221336896,2025-05-06
459,Kiran Devi,576634541829,91269945206,Punjab National Bank,"House 701, Rampur, Gorakhpur",Gorakhpur,PM Awas Yojana,148048.07,1992-01-05,9061669100,2021-06-17
460,Rekha Gupta,387508276817,22577545847,Bank of Baroda,"House 389, Krishnanagar, Sivasagar",Sivasagar,PM Awas Yojana,145882.13,1998-04-26,9529187683,2021-08-05
461,Pushpa Iyer,193873370342,44474890476,State Bank of India,"House 455, Bapunagar, Allahabad",Allahabad,NSAP Pension,5826.83,1963-12-07,9235107651,2021-04-29
462,Dinesh Roy,749050975923,04501896164,Bank of Baroda,"House 246, Model Town, Kamrup",Kamrup,Ayushman Bharat,43948.2,1993-04-01,9032664214,2022-12-07
463,Prakash Sharma,104332181960,79402654235,State Bank of India,"Plot No.1, Near Bus Stand, Main Road, Lucknow",Nagaon,NSP Scholarship,8959.68,1959-04-16,9366325673,2021-08-25
464,Kiran Jha,707459915304,45002026838,Canara Bank,"House 569, Nehru Vihar, Varanasi",Varanasi,PMKVY Skill Dev,8410.58,1982-02-19,9450295867,2021-06-01
465,Rajan Tiwari,492878757030,29301125018,Canara Bank,"House 856, Bapunagar, Allahabad",Allahabad,PMKVY Skill Dev,8433.55,1976-07-23,9290695222,2024-05-30
466,Suresh Singh,393449076972,79402654235,State Bank of India,"House 392, Krishnanagar, Kamrup",Kamrup,MGNREGA,11737.39,1983-11-17,9339192969,2024-11-11
467,Deepak Rani,398402891416,12846398554,Canara Bank,"House 280, Krishnanagar, Darrang",Darrang,NSP Scholarship,8960.49,1972-05-24,9537950209,2023-01-06
468,Mohan Pandey,064242956334,32447417595,Punjab National Bank,"House 791, Bapunagar, Kanpur",Kanpur,NSP Scholarship,7707.38,1985-12-15,9096289365,2022-01-23
469,Ashok Singh,420439407016,45104636815,Canara Bank,"House 888, Nehru Vihar, Varanasi",Varanasi,NSP Scholarship,7784.05,1984-07-11,9387800384,2023-10-25
470,Lalita Yadav,321298338167,42336293449,Canara Bank,"House 991, Bapunagar, Lakhimpur",Lakhimpur,PM-KISAN,2805.6,1958-01-30,9156627768,2022-04-08
471,Savita Nath,262636785089,89774759443,Punjab National Bank,"House 860, Nehru Vihar, Dhubri",Dhubri,Ayushman Bharat,37078.8,1988-11-02,9953774037,2023-07-03
472,Savita Yadav,309407778097,33977671990,Bank of Baroda,"House 904, Nehru Vihar, Nagaon",Nagaon,PM-KISAN,3112.45,1982-08-16,9022050209,2022-04-21
473,Bharat Jha,492699969964,89971842859,Canara Bank,"House 653, Nehru Vihar, Nagaon",Nagaon,PM-KISAN,2992.8,1971-08-12,9914084993,2024-09-14
474,Sunita Gupta,045561100225,57941552166,Canara Bank,"House 279, Model Town, Dhubri",Dhubri,PM-KISAN,3542.86,1958-05-06,9621202169,2022-12-24
475,Ashok Roy,721753540838,66317797177,Punjab National Bank,"House 122, Gandhi Nagar, Sonitpur",Sonitpur,MGNREGA,11942.87,1999-08-28,9166088019,2022-03-20
476,Rekha Jha,452634888237,25442253511,Canara Bank,"House 994, Nehru Vihar, Jorhat",Jorhat,PMKVY Skill Dev,403784.81,1984-07-06,9805034553,2022-07-31
477,Pushpa Ghosh,529894062607,87010415914,UCO Bank,"House 494, Bapunagar, Kanpur",Kanpur,MGNREGA,6975.69,1995-10-16,9198038287,2024-12-02
478,Rekha Ghosh,930746452059,96043878753,Punjab National Bank,"House 473, Bapunagar, Varanasi",Varanasi,NSAP Pension,3828.58,1993-12-11,9161620281,2024-10-02
479,Ramesh Reddy,022599996636,18637159741,Bank of Baroda,"House 107, Bapunagar, Jorhat",Jorhat,PMKVY Skill Dev,14634.88,1998-05-17,9970231643,2024-05-18
480,Usha Devi,034281139043,83034199097,State Bank of India,"House 50, Shantinagar, Jorhat",Jorhat,PMKVY Skill Dev,9118.53,1973-07-25,9054683565,2024-12-16
481,Mangala Mishra,182971681572,45000000152,UCO Bank,"House 84, Rampur, Nagaon",Nagaon,NSAP Pension,4689.42,1958-02-12,9178509025,2023-12-07
